filepath,prediction,label
nopathgiven,90,49,1.0825711488723755
nopathgiven,84,33,1.218408226966858
nopathgiven,18,72,1.135223627090454
nopathgiven,45,51,1.1306756734848022
nopathgiven,82,71,1.149067997932434
nopathgiven,6,92,1.167116641998291
nopathgiven,29,15,1.3333524465560913
nopathgiven,63,14,1.284866452217102
nopathgiven,60,23,1.1444151401519775
nopathgiven,57,0,1.1603800058364868
nopathgiven,12,71,1.406670093536377
nopathgiven,18,75,1.0969942808151245
nopathgiven,90,81,1.0980165004730225
nopathgiven,69,69,1.1352232694625854
nopathgiven,40,40,0.9799876809120178
nopathgiven,42,43,1.4877402782440186
nopathgiven,25,92,1.168053150177002
nopathgiven,6,97,1.1069977283477783
nopathgiven,70,70,1.1018707752227783
nopathgiven,53,53,1.1215190887451172
nopathgiven,51,70,1.0387662649154663
nopathgiven,73,49,1.1003261804580688
nopathgiven,26,75,1.0526596307754517
nopathgiven,33,29,1.3721017837524414
nopathgiven,90,21,1.1370139122009277
nopathgiven,10,16,1.1085124015808105
nopathgiven,39,39,1.1081371307373047
nopathgiven,8,8,1.1777125597000122
nopathgiven,79,8,1.1196744441986084
nopathgiven,51,70,0.969538152217865
nopathgiven,5,20,1.023472547531128
nopathgiven,22,61,1.1827224493026733
nopathgiven,9,41,0.9593550562858582
nopathgiven,73,93,1.2028539180755615
nopathgiven,96,56,1.0960190296173096
nopathgiven,65,73,1.441998839378357
nopathgiven,45,58,1.042392373085022
nopathgiven,2,11,1.1197888851165771
nopathgiven,63,25,1.0765793323516846
nopathgiven,85,37,1.0862466096878052
nopathgiven,4,63,1.32089102268219
nopathgiven,18,24,1.1101826429367065
nopathgiven,73,49,1.1352227926254272
nopathgiven,30,73,1.1041648387908936
nopathgiven,56,56,1.100229263305664
nopathgiven,61,22,1.0661040544509888
nopathgiven,48,41,1.1012846231460571
nopathgiven,58,58,1.1059620380401611
nopathgiven,92,75,1.116414189338684
nopathgiven,9,17,1.107991099357605
nopathgiven,3,4,1.4553215503692627
nopathgiven,51,6,1.2028535604476929
nopathgiven,18,9,1.6060627698898315
nopathgiven,14,57,1.2732912302017212
nopathgiven,63,2,1.1077622175216675
nopathgiven,35,32,1.1043055057525635
nopathgiven,73,71,1.3208909034729004
nopathgiven,59,52,1.1077349185943604
nopathgiven,78,42,1.2848668098449707
nopathgiven,95,69,1.1537578105926514
nopathgiven,78,77,1.326377034187317
nopathgiven,72,27,1.3655589818954468
nopathgiven,3,15,1.097506046295166
nopathgiven,66,65,1.2507555484771729
nopathgiven,62,7,1.116287112236023
nopathgiven,78,35,1.1042557954788208
nopathgiven,42,43,1.1084359884262085
nopathgiven,62,82,1.102994441986084
nopathgiven,14,63,1.1628093719482422
nopathgiven,54,92,1.116869330406189
nopathgiven,8,66,1.1773518323898315
nopathgiven,42,90,1.1398006677627563
nopathgiven,42,67,1.1004252433776855
nopathgiven,14,91,1.1347259283065796
nopathgiven,67,32,1.4646146297454834
nopathgiven,26,32,1.071975588798523
nopathgiven,6,82,1.1039979457855225
nopathgiven,16,10,1.0669716596603394
nopathgiven,77,77,1.1200780868530273
nopathgiven,61,22,0.9691118001937866
nopathgiven,71,71,1.0955204963684082
nopathgiven,78,78,1.1927025318145752
nopathgiven,70,54,1.284866213798523
nopathgiven,7,6,1.125658392906189
nopathgiven,1,29,1.0411267280578613
nopathgiven,13,89,1.1053844690322876
nopathgiven,99,78,1.10330069065094
nopathgiven,42,33,1.106303095817566
nopathgiven,2,11,1.1057255268096924
nopathgiven,73,67,1.4646151065826416
