filepath,prediction,label
nopathgiven,77,49,1.71849524974823
nopathgiven,84,33,2.0713486671447754
nopathgiven,18,72,1.8003339767456055
nopathgiven,45,51,1.9668562412261963
nopathgiven,82,71,1.760469675064087
nopathgiven,6,92,2.0025157928466797
nopathgiven,45,15,2.2650065422058105
nopathgiven,63,14,2.3145434856414795
nopathgiven,23,23,1.8543219566345215
nopathgiven,57,0,2.0906448364257812
nopathgiven,12,71,2.4223194122314453
nopathgiven,18,75,1.9039902687072754
nopathgiven,90,81,1.9264771938323975
nopathgiven,76,69,1.7670103311538696
nopathgiven,40,40,1.7090518474578857
nopathgiven,42,43,2.447749376296997
nopathgiven,18,92,1.9632664918899536
nopathgiven,6,97,1.9542304277420044
nopathgiven,70,70,1.9202384948730469
nopathgiven,62,53,1.9488303661346436
nopathgiven,51,70,1.9353611469268799
nopathgiven,73,49,1.9149889945983887
nopathgiven,26,75,1.8562566041946411
nopathgiven,33,29,2.4453277587890625
nopathgiven,81,21,2.009171724319458
nopathgiven,10,16,1.9083211421966553
nopathgiven,39,39,2.029423713684082
nopathgiven,8,8,2.1209716796875
nopathgiven,79,8,1.947161078453064
nopathgiven,40,70,1.7247989177703857
nopathgiven,5,20,1.833370327949524
nopathgiven,22,61,2.0536046028137207
nopathgiven,24,41,1.7925913333892822
nopathgiven,45,93,1.9865424633026123
nopathgiven,52,56,1.8288452625274658
nopathgiven,79,73,2.2077369689941406
nopathgiven,45,58,1.779976725578308
nopathgiven,2,11,1.7547000646591187
nopathgiven,63,25,1.8597261905670166
nopathgiven,42,37,1.869868516921997
nopathgiven,33,63,2.302154064178467
nopathgiven,18,24,1.8556549549102783
nopathgiven,18,49,1.9651678800582886
nopathgiven,73,73,1.8227081298828125
nopathgiven,56,56,1.9721572399139404
nopathgiven,61,22,1.8858060836791992
nopathgiven,48,41,1.906156063079834
nopathgiven,41,58,1.9475221633911133
nopathgiven,92,75,1.9584218263626099
nopathgiven,82,17,1.914945363998413
nopathgiven,42,4,2.4559223651885986
nopathgiven,33,6,2.024909019470215
nopathgiven,18,9,2.8459889888763428
nopathgiven,14,57,2.218276023864746
nopathgiven,63,2,1.86477530002594
nopathgiven,35,32,1.9560694694519043
nopathgiven,73,71,2.0594589710235596
nopathgiven,59,52,1.8559614419937134
nopathgiven,47,42,2.2542166709899902
nopathgiven,18,69,1.7851613759994507
nopathgiven,18,77,2.308814525604248
nopathgiven,33,27,2.078662872314453
nopathgiven,3,15,1.9638935327529907
nopathgiven,99,65,1.8963673114776611
nopathgiven,62,7,2.009634017944336
nopathgiven,78,35,1.947823405265808
nopathgiven,42,43,1.8548893928527832
nopathgiven,62,82,1.9046908617019653
nopathgiven,14,63,1.9518566131591797
nopathgiven,33,92,1.9998644590377808
nopathgiven,8,66,2.0929291248321533
nopathgiven,42,90,2.052177906036377
