filepath,prediction,label
nopathgiven,90,49,0.0
nopathgiven,33,33,0.0
nopathgiven,72,72,0.0
nopathgiven,51,51,0.0
nopathgiven,71,71,0.0
nopathgiven,6,92,0.0
nopathgiven,15,15,0.0
nopathgiven,63,14,0.0
nopathgiven,71,23,0.0
nopathgiven,0,0,0.0
nopathgiven,12,71,0.0
nopathgiven,75,75,0.0
nopathgiven,81,81,0.0
nopathgiven,69,69,0.0
nopathgiven,40,40,0.0
nopathgiven,43,43,0.0
nopathgiven,92,92,0.0
nopathgiven,97,97,0.0
nopathgiven,70,70,0.0
nopathgiven,53,53,0.0
nopathgiven,70,70,0.0
nopathgiven,49,49,0.0
nopathgiven,26,75,0.0
nopathgiven,96,29,0.0
nopathgiven,21,21,0.0
nopathgiven,16,16,0.0
nopathgiven,39,39,0.0
nopathgiven,8,8,0.0
nopathgiven,8,8,0.0
nopathgiven,54,70,0.0
nopathgiven,20,20,0.0
nopathgiven,61,61,0.0
nopathgiven,41,41,0.0
nopathgiven,67,93,0.0
nopathgiven,56,56,0.0
nopathgiven,65,73,0.0
nopathgiven,58,58,0.0
nopathgiven,2,11,0.0
nopathgiven,25,25,0.0
nopathgiven,37,37,0.0
nopathgiven,63,63,0.0
nopathgiven,24,24,0.0
nopathgiven,49,49,0.0
nopathgiven,30,73,0.0
nopathgiven,56,56,0.0
nopathgiven,22,22,0.0
nopathgiven,41,41,0.0
nopathgiven,58,58,0.0
nopathgiven,92,75,0.0
nopathgiven,17,17,0.0
nopathgiven,4,4,0.0
nopathgiven,6,6,0.0
nopathgiven,9,9,0.0
nopathgiven,57,57,0.0
nopathgiven,2,2,0.0
nopathgiven,32,32,0.0
nopathgiven,71,71,0.0
nopathgiven,52,52,0.0
nopathgiven,42,42,0.0
nopathgiven,69,69,0.0
nopathgiven,77,77,0.0
nopathgiven,32,27,0.0
nopathgiven,3,15,0.0
nopathgiven,66,65,0.0
nopathgiven,62,7,0.0
nopathgiven,78,35,0.0
nopathgiven,43,43,0.0
nopathgiven,62,82,0.0
nopathgiven,63,63,0.0
nopathgiven,92,92,0.0
nopathgiven,8,66,0.0
nopathgiven,90,90,0.0
nopathgiven,10,67,0.0
nopathgiven,91,91,0.0
nopathgiven,67,32,0.0
nopathgiven,32,32,0.0
nopathgiven,82,82,0.0
nopathgiven,16,10,0.0
nopathgiven,77,77,0.0
nopathgiven,99,22,0.0
nopathgiven,71,71,0.0
nopathgiven,78,78,0.0
nopathgiven,54,54,0.0
nopathgiven,6,6,0.0
nopathgiven,1,29,0.0
nopathgiven,89,89,0.0
nopathgiven,78,78,0.0
nopathgiven,42,33,0.0
nopathgiven,2,11,0.0
nopathgiven,73,67,0.0
nopathgiven,22,22,0.0
nopathgiven,18,18,0.0
nopathgiven,27,27,0.0
nopathgiven,21,21,0.0
nopathgiven,13,13,0.0
nopathgiven,21,21,0.0
nopathgiven,50,50,0.0
nopathgiven,14,75,0.0
nopathgiven,37,37,0.0
nopathgiven,35,35,0.0
nopathgiven,26,26,0.0
nopathgiven,83,83,0.0
nopathgiven,96,47,0.0
nopathgiven,86,95,0.0
nopathgiven,43,43,0.0
nopathgiven,69,69,0.0
nopathgiven,76,76,0.0
