filepath,prediction,label
nopathgiven,3,3,0.22166527807712555
nopathgiven,8,8,0.22805918753147125
nopathgiven,8,8,0.22434213757514954
nopathgiven,0,0,0.24159926176071167
nopathgiven,6,6,0.2569737434387207
nopathgiven,6,6,0.2678910195827484
nopathgiven,1,1,0.2215929627418518
nopathgiven,6,6,0.22169993817806244
nopathgiven,3,3,0.22523604333400726
nopathgiven,1,1,0.2252359688282013
nopathgiven,0,0,0.2641787528991699
nopathgiven,9,9,0.22162504494190216
nopathgiven,5,5,0.274437814950943
nopathgiven,7,7,0.22133022546768188
nopathgiven,9,9,0.22159311175346375
nopathgiven,8,8,0.2234540432691574
nopathgiven,5,5,0.22009490430355072
nopathgiven,7,7,0.23854106664657593
nopathgiven,8,8,0.22155135869979858
nopathgiven,6,6,0.22434204816818237
nopathgiven,7,7,0.22170275449752808
nopathgiven,0,0,0.21873356401920319
nopathgiven,0,4,0.27987217903137207
nopathgiven,9,9,0.2212984412908554
nopathgiven,4,5,0.2288835495710373
nopathgiven,2,2,0.22981387376785278
nopathgiven,4,4,0.227960467338562
nopathgiven,0,0,0.22116759419441223
nopathgiven,9,9,0.22170279920101166
nopathgiven,6,6,0.2731119692325592
nopathgiven,3,6,0.3006645739078522
nopathgiven,5,5,0.2569737732410431
nopathgiven,8,4,0.2326512485742569
nopathgiven,5,5,0.2203589826822281
nopathgiven,9,9,0.22796042263507843
nopathgiven,3,2,0.2296193391084671
nopathgiven,7,4,0.2261369377374649
nopathgiven,9,1,0.21991489827632904
nopathgiven,9,9,0.22129996120929718
nopathgiven,5,5,0.2365449070930481
nopathgiven,4,4,0.2297765165567398
nopathgiven,6,6,0.22613658010959625
nopathgiven,5,5,0.22613678872585297
nopathgiven,6,6,0.22162917256355286
nopathgiven,0,0,0.22250176966190338
nopathgiven,9,9,0.22073878347873688
nopathgiven,3,3,0.22434207797050476
nopathgiven,9,9,0.23654484748840332
nopathgiven,7,7,0.2798723876476288
nopathgiven,6,6,0.32121706008911133
nopathgiven,9,9,0.22142472863197327
nopathgiven,8,8,0.23361243307590485
nopathgiven,2,0,0.2593309283256531
nopathgiven,5,3,0.2216956913471222
nopathgiven,8,8,0.2242690771818161
nopathgiven,8,8,0.2899192273616791
nopathgiven,7,7,0.22225463390350342
nopathgiven,5,7,0.22616733610630035
nopathgiven,7,4,0.2234555184841156
nopathgiven,3,6,0.24263620376586914
nopathgiven,7,7,0.23654493689537048
nopathgiven,5,3,0.23854093253612518
nopathgiven,6,6,0.231723353266716
nopathgiven,9,3,0.2195521593093872
nopathgiven,6,6,0.2458009421825409
nopathgiven,6,2,0.26052621006965637
nopathgiven,1,1,0.23650334775447845
nopathgiven,2,2,0.21765963733196259
nopathgiven,3,3,0.2214137613773346
nopathgiven,7,7,0.21743950247764587
nopathgiven,2,2,0.22888360917568207
nopathgiven,6,6,0.2426360547542572
nopathgiven,8,8,0.22704514861106873
nopathgiven,8,8,0.2679347097873688
nopathgiven,0,0,0.2307518720626831
nopathgiven,2,2,0.22788499295711517
nopathgiven,9,9,0.23555931448936462
nopathgiven,3,3,0.2490493208169937
nopathgiven,3,3,0.2544317841529846
nopathgiven,8,8,0.2149406522512436
nopathgiven,8,8,0.22613699734210968
nopathgiven,1,1,0.2164393961429596
nopathgiven,1,1,0.22434209287166595
nopathgiven,7,7,0.22796069085597992
nopathgiven,2,2,0.22133758664131165
nopathgiven,7,5,0.22434213757514954
nopathgiven,2,2,0.23075030744075775
nopathgiven,4,7,0.2261369824409485
nopathgiven,8,8,0.22434218227863312
nopathgiven,9,9,0.23075193166732788
nopathgiven,0,0,0.2217015027999878
nopathgiven,6,3,0.2447367161512375
nopathgiven,8,8,0.22170290350914001
nopathgiven,6,6,0.22865837812423706
nopathgiven,4,4,0.35114407539367676
nopathgiven,6,6,0.2234555184841156
nopathgiven,6,6,0.23555773496627808
nopathgiven,0,0,0.36239904165267944
nopathgiven,0,0,0.20170143246650696
nopathgiven,7,7,0.22169728577136993
nopathgiven,4,4,0.25465866923332214
nopathgiven,5,5,0.23265115916728973
nopathgiven,6,6,0.23398222029209137
nopathgiven,3,3,0.21927428245544434
nopathgiven,1,1,0.2214861810207367
nopathgiven,1,1,0.21865998208522797
nopathgiven,3,3,0.22129704058170319
nopathgiven,6,6,0.2929231524467468
nopathgiven,8,8,0.22114822268486023
nopathgiven,7,7,0.22126373648643494
nopathgiven,4,4,0.22163057327270508
nopathgiven,0,0,0.219132661819458
nopathgiven,6,6,0.2261369377374649
nopathgiven,2,2,0.2744380235671997
nopathgiven,1,1,0.23169763386249542
nopathgiven,3,3,0.22888341546058655
nopathgiven,0,0,0.23075200617313385
nopathgiven,4,4,0.2195899486541748
nopathgiven,3,2,0.3396642804145813
nopathgiven,7,7,0.22246551513671875
nopathgiven,8,8,0.22257575392723083
nopathgiven,4,3,0.2234553098678589
nopathgiven,1,1,0.2436818778514862
nopathgiven,2,2,0.23854099214076996
nopathgiven,8,8,0.22170288860797882
nopathgiven,2,0,0.22151677310466766
nopathgiven,8,8,0.2617325782775879
nopathgiven,3,3,0.22412505745887756
nopathgiven,5,5,0.22434204816818237
nopathgiven,2,2,0.23361259698867798
nopathgiven,2,4,0.2326512187719345
nopathgiven,1,1,0.2215791791677475
nopathgiven,8,8,0.22166676819324493
nopathgiven,9,9,0.22888346016407013
nopathgiven,1,1,0.2217014878988266
nopathgiven,2,2,0.23361259698867798
nopathgiven,9,9,0.22120223939418793
nopathgiven,7,7,0.2316977083683014
nopathgiven,2,2,0.22523583471775055
nopathgiven,8,9,0.22257429361343384
nopathgiven,6,6,0.27577683329582214
nopathgiven,5,5,0.22169721126556396
nopathgiven,6,6,0.22059768438339233
nopathgiven,5,3,0.23654478788375854
nopathgiven,8,8,0.22170141339302063
nopathgiven,7,7,0.22257575392723083
nopathgiven,6,6,0.2809700667858124
nopathgiven,5,2,0.22110074758529663
nopathgiven,7,5,0.22103679180145264
nopathgiven,2,2,0.2279546558856964
nopathgiven,8,8,0.21817992627620697
nopathgiven,9,9,0.22062565386295319
nopathgiven,6,6,0.27443432807922363
nopathgiven,0,0,0.2345818728208542
nopathgiven,0,0,0.22257129848003387
nopathgiven,5,5,0.2436819076538086
nopathgiven,2,2,0.2375388741493225
nopathgiven,9,9,0.22170281410217285
nopathgiven,5,5,0.23169757425785065
nopathgiven,4,4,0.2784937620162964
nopathgiven,2,2,0.2654188573360443
nopathgiven,1,1,0.23067517578601837
nopathgiven,6,6,0.21720261871814728
nopathgiven,6,6,0.2512631118297577
nopathgiven,0,8,0.22159458696842194
nopathgiven,2,4,0.23854106664657593
nopathgiven,8,8,0.2214849293231964
nopathgiven,6,4,0.23753876984119415
nopathgiven,5,5,0.2187448889017105
nopathgiven,0,0,0.2215222418308258
nopathgiven,9,9,0.22136946022510529
nopathgiven,9,9,0.23361247777938843
nopathgiven,9,9,0.27049878239631653
nopathgiven,8,8,0.2354411482810974
nopathgiven,9,9,0.24328191578388214
nopathgiven,9,9,0.2215152233839035
nopathgiven,3,3,0.22345541417598724
nopathgiven,7,7,0.2307519018650055
nopathgiven,5,5,0.27987241744995117
nopathgiven,0,0,0.22613686323165894
nopathgiven,0,0,0.24904946982860565
nopathgiven,5,5,0.2179163694381714
nopathgiven,2,2,0.2225380837917328
nopathgiven,2,2,0.27987250685691833
nopathgiven,0,3,0.22257433831691742
nopathgiven,8,8,0.2217029482126236
nopathgiven,6,6,0.29130345582962036
nopathgiven,3,3,0.2345818728208542
nopathgiven,3,4,0.1994616985321045
nopathgiven,8,0,0.22674639523029327
nopathgiven,5,5,0.22145012021064758
nopathgiven,8,8,0.2213778793811798
nopathgiven,0,0,0.22430561482906342
nopathgiven,1,1,0.23075033724308014
nopathgiven,7,7,0.2757766544818878
nopathgiven,2,2,0.2605261206626892
nopathgiven,8,8,0.2214430719614029
nopathgiven,8,8,0.23458196222782135
nopathgiven,7,7,0.21578258275985718
nopathgiven,8,8,0.25238505005836487
nopathgiven,5,5,0.22169716656208038
nopathgiven,1,1,0.22704362869262695
nopathgiven,8,8,0.24159924685955048
nopathgiven,7,7,0.2355591058731079
nopathgiven,1,1,0.25126150250434875
nopathgiven,3,3,0.22888359427452087
nopathgiven,0,0,0.2288833111524582
nopathgiven,5,5,0.22257570922374725
nopathgiven,7,7,0.2395518273115158
nopathgiven,9,9,0.22981388866901398
nopathgiven,7,7,0.2812647819519043
nopathgiven,4,4,0.2213679403066635
nopathgiven,5,5,0.2261369526386261
nopathgiven,7,9,0.2225756198167801
nopathgiven,8,8,0.23654493689537048
nopathgiven,0,0,0.20188933610916138
nopathgiven,7,7,0.2223888784646988
nopathgiven,9,9,0.22147923707962036
nopathgiven,0,8,0.19311486184597015
nopathgiven,2,2,0.24057118594646454
nopathgiven,7,7,0.22434218227863312
nopathgiven,3,6,0.2617323696613312
nopathgiven,9,9,0.22155283391475677
nopathgiven,7,4,0.24687425792217255
nopathgiven,9,3,0.2217026948928833
nopathgiven,9,9,0.22704492509365082
nopathgiven,4,6,0.22170141339302063
nopathgiven,4,4,0.2523850202560425
nopathgiven,7,7,0.21986164152622223
nopathgiven,6,6,0.22257424890995026
nopathgiven,5,5,0.22166375815868378
nopathgiven,1,1,0.21713177859783173
nopathgiven,5,5,0.2216304987668991
nopathgiven,1,8,0.29292330145835876
nopathgiven,8,8,0.22168326377868652
nopathgiven,0,0,0.2336125671863556
nopathgiven,4,4,0.2869754135608673
nopathgiven,7,0,0.2196705937385559
nopathgiven,3,5,0.20356474816799164
nopathgiven,5,5,0.2142137587070465
nopathgiven,1,1,0.22170259058475494
nopathgiven,1,1,0.2316976636648178
nopathgiven,1,8,0.24159929156303406
nopathgiven,9,9,0.229813814163208
nopathgiven,0,0,0.22257566452026367
nopathgiven,3,3,0.2214386910200119
nopathgiven,1,1,0.2261354923248291
nopathgiven,8,9,0.28692907094955444
nopathgiven,2,2,0.22170290350914001
nopathgiven,2,2,0.22257398068904877
nopathgiven,5,5,0.22257287800312042
nopathgiven,3,3,0.25805801153182983
nopathgiven,9,9,0.22140264511108398
nopathgiven,9,9,0.23854081332683563
nopathgiven,6,4,0.2243421971797943
nopathgiven,0,0,0.22257432341575623
nopathgiven,6,3,0.22640155255794525
nopathgiven,0,0,0.22146478295326233
nopathgiven,0,0,0.22170288860797882
nopathgiven,9,9,0.22119413316249847
nopathgiven,8,8,0.22162775695323944
nopathgiven,1,1,0.22162777185440063
nopathgiven,3,5,0.2279604822397232
nopathgiven,3,7,0.22872842848300934
nopathgiven,8,0,0.253221333026886
nopathgiven,8,8,0.2216639667749405
nopathgiven,0,2,0.22981399297714233
nopathgiven,4,4,0.22888319194316864
nopathgiven,7,7,0.22093960642814636
nopathgiven,0,0,0.2217029482126236
nopathgiven,2,2,0.24687443673610687
nopathgiven,5,3,0.2336125671863556
nopathgiven,6,6,0.23753845691680908
nopathgiven,3,3,0.2345726490020752
nopathgiven,8,8,0.23169764876365662
nopathgiven,3,5,0.22704502940177917
nopathgiven,0,0,0.23614360392093658
nopathgiven,2,3,0.22434206306934357
nopathgiven,4,4,0.22170282900333405
nopathgiven,5,3,0.22115199267864227
nopathgiven,9,9,0.22129428386688232
nopathgiven,0,0,0.22613681852817535
nopathgiven,6,6,0.2385411411523819
nopathgiven,1,1,0.2181197702884674
nopathgiven,9,0,0.21534205973148346
nopathgiven,9,9,0.22166673839092255
nopathgiven,1,1,0.2194289267063141
nopathgiven,8,0,0.2375388741493225
nopathgiven,7,7,0.303947389125824
