filepath,prediction,label
nopathgiven,3,3,0.3878733515739441
nopathgiven,8,8,0.39776840806007385
nopathgiven,8,8,0.3925990164279938
nopathgiven,0,0,0.4227992296218872
nopathgiven,6,6,0.4497039318084717
nopathgiven,6,6,0.46888551115989685
nopathgiven,1,1,0.387636661529541
nopathgiven,4,6,0.3878296911716461
nopathgiven,3,3,0.3941636383533478
nopathgiven,9,1,0.39416325092315674
nopathgiven,0,0,0.4623132050037384
nopathgiven,9,9,0.3877437114715576
nopathgiven,5,5,0.4802662134170532
nopathgiven,7,7,0.38714683055877686
nopathgiven,9,9,0.38768380880355835
nopathgiven,8,8,0.39098355174064636
nopathgiven,5,5,0.3861658275127411
nopathgiven,7,7,0.41744694113731384
nopathgiven,8,8,0.38763704895973206
nopathgiven,6,6,0.3925987184047699
nopathgiven,7,7,0.38787350058555603
nopathgiven,0,0,0.3840983510017395
nopathgiven,0,4,0.4897759258747101
nopathgiven,9,9,0.3871742784976959
nopathgiven,4,5,0.4005465805530548
nopathgiven,2,2,0.40217432379722595
nopathgiven,4,4,0.39893069863319397
nopathgiven,0,0,0.38567036390304565
nopathgiven,9,9,0.3879169821739197
nopathgiven,6,6,0.47794586420059204
nopathgiven,6,6,0.5262486934661865
nopathgiven,5,5,0.44970422983169556
nopathgiven,8,4,0.40713948011398315
nopathgiven,5,5,0.3863868713378906
nopathgiven,9,9,0.3989309072494507
nopathgiven,2,2,0.4001580774784088
nopathgiven,7,4,0.3957396447658539
nopathgiven,9,1,0.38554975390434265
nopathgiven,9,9,0.3877907693386078
nopathgiven,5,5,0.4139536917209625
nopathgiven,4,4,0.40210917592048645
nopathgiven,6,6,0.3956947922706604
nopathgiven,5,5,0.39573946595191956
nopathgiven,6,6,0.38768357038497925
nopathgiven,0,0,0.38902875781059265
nopathgiven,9,9,0.38715487718582153
nopathgiven,3,3,0.39259883761405945
nopathgiven,3,9,0.41395342350006104
nopathgiven,7,7,0.4897765517234802
nopathgiven,6,6,0.5621293187141418
nopathgiven,9,9,0.3874906003475189
nopathgiven,8,8,0.40882161259651184
nopathgiven,0,0,0.45382940769195557
nopathgiven,3,3,0.38736018538475037
nopathgiven,8,8,0.39253512024879456
nopathgiven,8,8,0.5073588490486145
nopathgiven,7,7,0.3888620138168335
nopathgiven,7,7,0.39445388317108154
nopathgiven,7,4,0.39104750752449036
nopathgiven,3,6,0.4246136546134949
nopathgiven,7,7,0.413953959941864
nopathgiven,3,3,0.41744670271873474
nopathgiven,6,6,0.40285658836364746
nopathgiven,9,3,0.3856852352619171
nopathgiven,6,6,0.4301515817642212
nopathgiven,6,2,0.4559207558631897
nopathgiven,1,1,0.4138612747192383
nopathgiven,2,2,0.3871276378631592
nopathgiven,3,3,0.38747045397758484
nopathgiven,7,7,0.3719111979007721
nopathgiven,0,2,0.4005470871925354
nopathgiven,6,6,0.42461296916007996
nopathgiven,8,8,0.397329717874527
nopathgiven,8,8,0.46888598799705505
nopathgiven,0,0,0.40381601452827454
nopathgiven,2,2,0.3988865315914154
nopathgiven,9,9,0.4122290313243866
nopathgiven,5,3,0.43583640456199646
nopathgiven,3,3,0.44444188475608826
nopathgiven,8,8,0.38197144865989685
nopathgiven,8,8,0.3957400918006897
nopathgiven,1,1,0.37445327639579773
nopathgiven,1,1,0.39259880781173706
nopathgiven,7,7,0.39893192052841187
nopathgiven,2,2,0.3867281675338745
nopathgiven,7,5,0.39259856939315796
nopathgiven,2,2,0.4038158357143402
nopathgiven,7,7,0.3957400321960449
nopathgiven,8,8,0.3925992250442505
nopathgiven,9,9,0.40381622314453125
nopathgiven,0,0,0.3879803419113159
nopathgiven,4,3,0.42828911542892456
nopathgiven,8,8,0.38787415623664856
nopathgiven,6,6,0.4004809260368347
nopathgiven,4,4,0.614501416683197
nopathgiven,6,6,0.3910471498966217
nopathgiven,6,6,0.412228524684906
nopathgiven,0,0,0.6341995596885681
nopathgiven,0,0,0.35739749670028687
nopathgiven,7,7,0.3878936767578125
nopathgiven,4,4,0.4456530213356018
nopathgiven,5,5,0.40713971853256226
nopathgiven,6,6,0.40775129199028015
nopathgiven,3,3,0.3782092332839966
nopathgiven,1,1,0.38766413927078247
nopathgiven,1,1,0.3763655722141266
nopathgiven,3,3,0.38660022616386414
nopathgiven,6,6,0.5126153230667114
nopathgiven,8,8,0.387684166431427
nopathgiven,7,7,0.3867747485637665
nopathgiven,4,4,0.38791683316230774
nopathgiven,0,0,0.38168415427207947
nopathgiven,6,6,0.3957398533821106
nopathgiven,2,2,0.48026689887046814
nopathgiven,1,1,0.4054710268974304
nopathgiven,3,3,0.40054598450660706
nopathgiven,0,0,0.4038164019584656
nopathgiven,4,4,0.38404974341392517
nopathgiven,3,2,0.5785302519798279
nopathgiven,7,7,0.3893371820449829
nopathgiven,8,8,0.389507919549942
nopathgiven,7,3,0.39104682207107544
nopathgiven,1,1,0.4264431595802307
nopathgiven,2,2,0.4174470007419586
nopathgiven,8,8,0.387874037027359
nopathgiven,8,0,0.38732045888900757
nopathgiven,8,8,0.45803210139274597
nopathgiven,3,3,0.38949593901634216
nopathgiven,5,5,0.39259886741638184
nopathgiven,2,2,0.408822625875473
