filepath,prediction,label
nopathgiven,3,3,0.0
nopathgiven,8,8,0.0
nopathgiven,8,8,0.0
nopathgiven,0,0,0.0
nopathgiven,6,6,0.0
nopathgiven,6,6,0.0
nopathgiven,1,1,0.0
nopathgiven,6,6,0.0
nopathgiven,3,3,0.0
nopathgiven,1,1,0.0
nopathgiven,0,0,0.0
nopathgiven,9,9,0.0
nopathgiven,5,5,0.0
nopathgiven,7,7,0.0
nopathgiven,9,9,0.0
nopathgiven,8,8,0.0
nopathgiven,5,5,0.0
nopathgiven,7,7,0.0
nopathgiven,8,8,0.0
nopathgiven,6,6,0.0
nopathgiven,7,7,0.0
nopathgiven,0,0,0.0
nopathgiven,0,4,0.0
nopathgiven,9,9,0.0
nopathgiven,4,5,0.0
nopathgiven,2,2,0.0
nopathgiven,4,4,0.0
nopathgiven,0,0,0.0
nopathgiven,9,9,0.0
nopathgiven,6,6,0.0
nopathgiven,3,6,0.0
nopathgiven,5,5,0.0
nopathgiven,8,4,0.0
nopathgiven,5,5,0.0
nopathgiven,9,9,0.0
nopathgiven,3,2,0.0
nopathgiven,7,4,0.0
nopathgiven,9,1,0.0
nopathgiven,9,9,0.0
nopathgiven,5,5,0.0
nopathgiven,4,4,0.0
nopathgiven,6,6,0.0
nopathgiven,5,5,0.0
nopathgiven,6,6,0.0
nopathgiven,0,0,0.0
nopathgiven,9,9,0.0
nopathgiven,3,3,0.0
nopathgiven,9,9,0.0
nopathgiven,7,7,0.0
nopathgiven,6,6,0.0
nopathgiven,9,9,0.0
nopathgiven,8,8,0.0
nopathgiven,2,0,0.0
nopathgiven,5,3,0.0
nopathgiven,8,8,0.0
nopathgiven,8,8,0.0
nopathgiven,7,7,0.0
nopathgiven,5,7,0.0
nopathgiven,3,4,0.0
nopathgiven,3,6,0.0
nopathgiven,7,7,0.0
nopathgiven,5,3,0.0
nopathgiven,6,6,0.0
nopathgiven,9,3,0.0
nopathgiven,6,6,0.0
nopathgiven,6,2,0.0
nopathgiven,1,1,0.0
nopathgiven,2,2,0.0
nopathgiven,3,3,0.0
nopathgiven,7,7,0.0
nopathgiven,2,2,0.0
nopathgiven,6,6,0.0
nopathgiven,8,8,0.0
nopathgiven,8,8,0.0
nopathgiven,0,0,0.0
nopathgiven,2,2,0.0
nopathgiven,9,9,0.0
nopathgiven,3,3,0.0
nopathgiven,3,3,0.0
nopathgiven,8,8,0.0
nopathgiven,8,8,0.0
nopathgiven,1,1,0.0
nopathgiven,1,1,0.0
nopathgiven,7,7,0.0
nopathgiven,2,2,0.0
nopathgiven,7,5,0.0
nopathgiven,2,2,0.0
nopathgiven,7,7,0.0
nopathgiven,8,8,0.0
nopathgiven,9,9,0.0
nopathgiven,0,0,0.0
nopathgiven,6,3,0.0
nopathgiven,8,8,0.0
nopathgiven,6,6,0.0
nopathgiven,4,4,0.0
nopathgiven,6,6,0.0
nopathgiven,6,6,0.0
nopathgiven,0,0,0.0
nopathgiven,0,0,0.0
nopathgiven,7,7,0.0
nopathgiven,4,4,0.0
nopathgiven,5,5,0.0
nopathgiven,6,6,0.0
nopathgiven,3,3,0.0
nopathgiven,1,1,0.0
nopathgiven,1,1,0.0
nopathgiven,3,3,0.0
nopathgiven,6,6,0.0
nopathgiven,8,8,0.0
nopathgiven,7,7,0.0
nopathgiven,4,4,0.0
nopathgiven,0,0,0.0
nopathgiven,6,6,0.0
nopathgiven,2,2,0.0
nopathgiven,1,1,0.0
nopathgiven,3,3,0.0
nopathgiven,0,0,0.0
nopathgiven,4,4,0.0
nopathgiven,3,2,0.0
nopathgiven,7,7,0.0
nopathgiven,8,8,0.0
nopathgiven,4,3,0.0
nopathgiven,1,1,0.0
nopathgiven,2,2,0.0
nopathgiven,8,8,0.0
nopathgiven,2,0,0.0
nopathgiven,8,8,0.0
nopathgiven,3,3,0.0
nopathgiven,5,5,0.0
nopathgiven,2,2,0.0
nopathgiven,4,4,0.0
nopathgiven,1,1,0.0
nopathgiven,8,8,0.0
nopathgiven,9,9,0.0
nopathgiven,1,1,0.0
nopathgiven,2,2,0.0
nopathgiven,9,9,0.0
nopathgiven,7,7,0.0
nopathgiven,2,2,0.0
nopathgiven,8,9,0.0
nopathgiven,6,6,0.0
nopathgiven,5,5,0.0
nopathgiven,6,6,0.0
nopathgiven,5,3,0.0
nopathgiven,8,8,0.0
nopathgiven,7,7,0.0
nopathgiven,6,6,0.0
nopathgiven,5,2,0.0
nopathgiven,5,5,0.0
nopathgiven,2,2,0.0
nopathgiven,8,8,0.0
nopathgiven,9,9,0.0
nopathgiven,6,6,0.0
nopathgiven,0,0,0.0
nopathgiven,0,0,0.0
nopathgiven,5,5,0.0
nopathgiven,2,2,0.0
nopathgiven,9,9,0.0
nopathgiven,5,5,0.0
nopathgiven,4,4,0.0
nopathgiven,2,2,0.0
nopathgiven,1,1,0.0
nopathgiven,6,6,0.0
nopathgiven,6,6,0.0
nopathgiven,0,8,0.0
nopathgiven,7,4,0.0
nopathgiven,8,8,0.0
nopathgiven,6,4,0.0
nopathgiven,5,5,0.0
nopathgiven,0,0,0.0
nopathgiven,9,9,0.0
nopathgiven,9,9,0.0
nopathgiven,9,9,0.0
nopathgiven,8,8,0.0
nopathgiven,9,9,0.0
nopathgiven,9,9,0.0
nopathgiven,3,3,0.0
nopathgiven,7,7,0.0
nopathgiven,5,5,0.0
nopathgiven,0,0,0.0
nopathgiven,0,0,0.0
nopathgiven,5,5,0.0
nopathgiven,2,2,0.0
nopathgiven,2,2,0.0
nopathgiven,3,3,0.0
nopathgiven,8,8,0.0
nopathgiven,6,6,0.0
nopathgiven,3,3,0.0
nopathgiven,3,4,0.0
nopathgiven,8,0,0.0
nopathgiven,5,5,0.0
nopathgiven,8,8,0.0
nopathgiven,0,0,0.0
nopathgiven,1,1,0.0
nopathgiven,7,7,0.0
nopathgiven,2,2,0.0
nopathgiven,8,8,0.0
nopathgiven,8,8,0.0
nopathgiven,7,7,0.0
nopathgiven,8,8,0.0
nopathgiven,5,5,0.0
nopathgiven,1,1,0.0
nopathgiven,8,8,0.0
nopathgiven,7,7,0.0
nopathgiven,1,1,0.0
nopathgiven,3,3,0.0
nopathgiven,0,0,0.0
nopathgiven,5,5,0.0
nopathgiven,7,7,0.0
nopathgiven,9,9,0.0
nopathgiven,7,7,0.0
nopathgiven,4,4,0.0
nopathgiven,5,5,0.0
nopathgiven,9,9,0.0
nopathgiven,8,8,0.0
nopathgiven,0,0,0.0
nopathgiven,7,7,0.0
nopathgiven,9,9,0.0
nopathgiven,0,8,0.0
nopathgiven,2,2,0.0
nopathgiven,7,7,0.0
nopathgiven,3,6,0.0
nopathgiven,9,9,0.0
nopathgiven,7,4,0.0
nopathgiven,9,3,0.0
nopathgiven,9,9,0.0
nopathgiven,4,6,0.0
nopathgiven,4,4,0.0
nopathgiven,7,7,0.0
nopathgiven,6,6,0.0
nopathgiven,5,5,0.0
nopathgiven,1,1,0.0
nopathgiven,5,5,0.0
nopathgiven,8,8,0.0
nopathgiven,8,8,0.0
nopathgiven,0,0,0.0
nopathgiven,4,4,0.0
nopathgiven,0,0,0.0
nopathgiven,3,5,0.0
nopathgiven,5,5,0.0
nopathgiven,1,1,0.0
nopathgiven,1,1,0.0
nopathgiven,1,8,0.0
nopathgiven,9,9,0.0
nopathgiven,0,0,0.0
nopathgiven,3,3,0.0
nopathgiven,1,1,0.0
nopathgiven,8,9,0.0
nopathgiven,2,2,0.0
nopathgiven,2,2,0.0
nopathgiven,5,5,0.0
nopathgiven,3,3,0.0
nopathgiven,9,9,0.0
nopathgiven,9,9,0.0
nopathgiven,6,4,0.0
nopathgiven,0,0,0.0
nopathgiven,3,3,0.0
nopathgiven,0,0,0.0
nopathgiven,0,0,0.0
nopathgiven,9,9,0.0
nopathgiven,8,8,0.0
nopathgiven,1,1,0.0
nopathgiven,3,5,0.0
nopathgiven,3,7,0.0
nopathgiven,8,0,0.0
nopathgiven,8,8,0.0
nopathgiven,0,2,0.0
nopathgiven,4,4,0.0
nopathgiven,7,7,0.0
nopathgiven,0,0,0.0
nopathgiven,2,2,0.0
nopathgiven,5,3,0.0
nopathgiven,6,6,0.0
nopathgiven,3,3,0.0
nopathgiven,8,8,0.0
nopathgiven,3,5,0.0
nopathgiven,0,0,0.0
nopathgiven,2,3,0.0
nopathgiven,4,4,0.0
nopathgiven,5,3,0.0
nopathgiven,9,9,0.0
nopathgiven,0,0,0.0
nopathgiven,6,6,0.0
nopathgiven,1,1,0.0
nopathgiven,0,0,0.0
nopathgiven,9,9,0.0
nopathgiven,1,1,0.0
nopathgiven,8,0,0.0
nopathgiven,7,7,0.0
nopathgiven,9,9,0.0
nopathgiven,1,1,0.0
nopathgiven,2,2,0.0
nopathgiven,6,6,0.0
nopathgiven,9,9,0.0
nopathgiven,5,3,0.0
nopathgiven,4,4,0.0
nopathgiven,6,6,0.0
nopathgiven,0,0,0.0
nopathgiven,0,0,0.0
nopathgiven,6,6,0.0
nopathgiven,6,6,0.0
nopathgiven,6,6,0.0
nopathgiven,5,3,0.0
nopathgiven,2,2,0.0
nopathgiven,6,6,0.0
nopathgiven,1,1,0.0
nopathgiven,9,8,0.0
nopathgiven,2,2,0.0
nopathgiven,1,1,0.0
nopathgiven,4,6,0.0
nopathgiven,8,8,0.0
nopathgiven,6,6,0.0
nopathgiven,8,8,0.0
nopathgiven,0,0,0.0
nopathgiven,3,4,0.0
nopathgiven,0,0,0.0
nopathgiven,7,7,0.0
nopathgiven,7,7,0.0
nopathgiven,5,5,0.0
nopathgiven,5,5,0.0
nopathgiven,3,3,0.0
nopathgiven,5,5,0.0
nopathgiven,2,2,0.0
nopathgiven,3,3,0.0
nopathgiven,3,4,0.0
nopathgiven,1,1,0.0
nopathgiven,7,7,0.0
nopathgiven,5,5,0.0
nopathgiven,4,4,0.0
nopathgiven,6,6,0.0
nopathgiven,1,1,0.0
nopathgiven,9,9,0.0
nopathgiven,6,3,0.0
nopathgiven,6,6,0.0
nopathgiven,6,6,0.0
nopathgiven,9,9,0.0
nopathgiven,3,3,0.0
nopathgiven,8,8,0.0
nopathgiven,0,0,0.0
nopathgiven,7,7,0.0
nopathgiven,4,2,0.0
nopathgiven,6,6,0.0
nopathgiven,2,2,0.0
nopathgiven,5,5,0.0
nopathgiven,8,8,0.0
nopathgiven,5,5,0.0
nopathgiven,4,4,0.0
nopathgiven,6,6,0.0
nopathgiven,8,8,0.0
nopathgiven,9,9,0.0
nopathgiven,9,9,0.0
nopathgiven,1,1,0.0
nopathgiven,0,0,0.0
nopathgiven,2,2,0.0
nopathgiven,3,2,0.0
nopathgiven,7,7,0.0
nopathgiven,6,3,0.0
nopathgiven,7,2,0.0
nopathgiven,8,8,0.0
nopathgiven,0,0,0.0
nopathgiven,9,9,0.0
nopathgiven,5,5,0.0
nopathgiven,8,8,0.0
nopathgiven,1,1,0.0
nopathgiven,9,9,0.0
nopathgiven,4,4,0.0
nopathgiven,1,1,0.0
nopathgiven,3,3,0.0
nopathgiven,0,8,0.0
nopathgiven,1,1,0.0
nopathgiven,4,4,0.0
nopathgiven,7,7,0.0
nopathgiven,9,9,0.0
nopathgiven,4,4,0.0
nopathgiven,2,2,0.0
nopathgiven,7,7,0.0
nopathgiven,0,0,0.0
nopathgiven,7,7,0.0
nopathgiven,2,0,0.0
nopathgiven,6,6,0.0
nopathgiven,6,6,0.0
nopathgiven,9,9,0.0
nopathgiven,0,0,0.0
nopathgiven,9,9,0.0
nopathgiven,5,2,0.0
nopathgiven,0,8,0.0
nopathgiven,7,7,0.0
nopathgiven,5,2,0.0
nopathgiven,2,2,0.0
nopathgiven,5,5,0.0
nopathgiven,1,1,0.0
nopathgiven,2,2,0.0
nopathgiven,6,6,0.0
nopathgiven,2,2,0.0
nopathgiven,9,9,0.0
nopathgiven,6,6,0.0
nopathgiven,2,2,0.0
nopathgiven,3,3,0.0
nopathgiven,0,0,0.0
nopathgiven,3,3,0.0
nopathgiven,9,9,0.0
nopathgiven,8,8,0.0
nopathgiven,7,7,0.0
nopathgiven,8,8,0.0
nopathgiven,8,8,0.0
nopathgiven,4,4,0.0
nopathgiven,0,0,0.0
nopathgiven,1,1,0.0
nopathgiven,8,8,0.0
nopathgiven,2,2,0.0
nopathgiven,7,7,0.0
nopathgiven,9,9,0.0
nopathgiven,5,3,0.0
nopathgiven,6,6,0.0
nopathgiven,1,1,0.0
nopathgiven,9,9,0.0
nopathgiven,0,0,0.0
nopathgiven,7,7,0.0
nopathgiven,5,3,0.0
nopathgiven,7,7,0.0
nopathgiven,4,4,0.0
nopathgiven,5,5,0.0
nopathgiven,8,0,0.0
nopathgiven,0,0,0.0
nopathgiven,2,2,0.0
nopathgiven,9,9,0.0
nopathgiven,5,3,0.0
nopathgiven,4,4,0.0
nopathgiven,0,0,0.0
nopathgiven,6,6,0.0
nopathgiven,2,2,0.0
nopathgiven,5,5,0.0
nopathgiven,3,3,0.0
nopathgiven,7,7,0.0
nopathgiven,7,3,0.0
nopathgiven,7,7,0.0
nopathgiven,2,2,0.0
nopathgiven,5,5,0.0
nopathgiven,3,3,0.0
nopathgiven,9,1,0.0
nopathgiven,1,1,0.0
nopathgiven,4,4,0.0
nopathgiven,9,9,0.0
nopathgiven,9,9,0.0
nopathgiven,5,5,0.0
nopathgiven,7,7,0.0
nopathgiven,5,5,0.0
nopathgiven,0,0,0.0
nopathgiven,2,2,0.0
nopathgiven,0,2,0.0
nopathgiven,2,2,0.0
nopathgiven,9,9,0.0
nopathgiven,7,7,0.0
nopathgiven,3,3,0.0
nopathgiven,9,9,0.0
nopathgiven,2,4,0.0
nopathgiven,4,3,0.0
nopathgiven,5,5,0.0
nopathgiven,6,4,0.0
nopathgiven,6,6,0.0
nopathgiven,5,5,0.0
nopathgiven,6,6,0.0
nopathgiven,1,1,0.0
nopathgiven,5,4,0.0
nopathgiven,3,3,0.0
nopathgiven,4,4,0.0
nopathgiven,4,4,0.0
nopathgiven,3,3,0.0
nopathgiven,7,7,0.0
nopathgiven,8,8,0.0
nopathgiven,5,3,0.0
nopathgiven,7,7,0.0
nopathgiven,8,8,0.0
nopathgiven,0,0,0.0
nopathgiven,5,5,0.0
nopathgiven,7,7,0.0
nopathgiven,6,6,0.0
nopathgiven,1,0,0.0
nopathgiven,5,5,0.0
nopathgiven,4,4,0.0
nopathgiven,8,8,0.0
