filepath,prediction,label
./data/nips17/images/0c7ac4a8c9dfa802,302,305,2.2016584873199463
./data/nips17/images/f43fbfe8a9ea876c,738,883,2.788423538208008
./data/nips17/images/4fc263d35a3ad3ee,159,243,2.9727232456207275
./data/nips17/images/cc13c2bc5cdd1f44,428,559,2.82456636428833
./data/nips17/images/73a52afd2f818ed5,762,438,2.071234941482544
./data/nips17/images/58f0fd17c4a0e25a,852,990,2.871112585067749
./data/nips17/images/90e11aa7c36c64f2,616,949,2.2067954540252686
./data/nips17/images/696f0f6bea562bf8,637,853,2.7094860076904297
./data/nips17/images/df58f94361c6d105,581,609,2.8736729621887207
./data/nips17/images/1394faa319bd353c,511,609,2.6868574619293213
./data/nips17/images/6cae4a23623d142b,956,582,2.900639057159424
./data/nips17/images/d02adcb9140880a1,915,915,3.0954172611236572
./data/nips17/images/71080285ad6cb4e9,539,455,3.2662532329559326
./data/nips17/images/137ab6ca314e9e35,922,619,2.745398759841919
./data/nips17/images/c819099fed6f0d73,551,961,2.018383502960205
./data/nips17/images/4b384c8247b56c0a,569,541,2.8203790187835693
./data/nips17/images/62ebd5f7ce015380,615,630,2.0870046615600586
./data/nips17/images/f24817d66024dfb6,406,741,3.419651508331299
./data/nips17/images/1b57d7bbd673c771,637,422,2.2304623126983643
./data/nips17/images/a2de1f4f2c1021fa,893,455,2.7829976081848145
./data/nips17/images/3e7b01ba495f15f9,571,707,2.949859857559204
./data/nips17/images/1a264165276e3c85,492,854,2.3716259002685547
./data/nips17/images/bc9a5e01c02e759e,549,922,2.113065481185913
./data/nips17/images/01bdc0cfe670f708,525,471,2.6111350059509277
./data/nips17/images/6af829a442e2e0e7,127,129,2.8833706378936768
./data/nips17/images/493694833dc23399,428,537,3.0322370529174805
./data/nips17/images/6ac94c9244f84aa3,634,672,2.8395612239837646
./data/nips17/images/7529b42e71769777,857,476,2.8146543502807617
./data/nips17/images/d204464fcf15ad99,299,299,3.2692911624908447
./data/nips17/images/7fd7ce3eb2bf9944,348,99,3.1589014530181885
./data/nips17/images/303781188f1b3b27,498,476,2.3597044944763184
./data/nips17/images/67967c9db11151e0,164,251,3.5645031929016113
./data/nips17/images/fa2a7d600b62174e,516,520,2.6069085597991943
./data/nips17/images/cd2d2889ef7ac51c,964,923,2.5020999908447266
./data/nips17/images/11954d93a7051cb5,23,22,2.135451316833496
./data/nips17/images/03f90f7138f761e8,538,663,2.232856035232544
./data/nips17/images/19935b1c0a4d305d,922,760,2.369553565979004
./data/nips17/images/9cf861a657c27cec,790,582,2.994194507598877
./data/nips17/images/05817a675e7506d1,645,672,2.7550241947174072
./data/nips17/images/e1c702ed9842dd1c,917,692,3.1740219593048096
./data/nips17/images/e7cafac174e90143,525,525,3.063420534133911
./data/nips17/images/1a680f33500acb4b,932,931,2.087819814682007
./data/nips17/images/81ddbe14219e9dcf,316,317,1.7997394800186157
./data/nips17/images/04cb9de291399d15,637,464,2.6193442344665527
./data/nips17/images/23f9d18d531eb148,332,478,3.107390880584717
./data/nips17/images/63f2e14ab6be82cf,501,667,2.1867101192474365
./data/nips17/images/0dffbfa7ba43cb90,634,961,2.3348548412323
./data/nips17/images/a97274c7e80a1764,778,865,3.0291900634765625
./data/nips17/images/85e2eea48d912d31,127,805,2.356381416320801
./data/nips17/images/ff5182599937c1ec,322,324,2.5354933738708496
./data/nips17/images/4bb12984b41d0834,34,33,2.4617440700531006
./data/nips17/images/150249123e81930d,922,922,2.6097543239593506
./data/nips17/images/f963957ccfa82f6b,141,142,2.0915367603302
./data/nips17/images/890fdaf4e1892e00,311,312,2.570916175842285
./data/nips17/images/9a1c67f467b9beea,305,302,2.6264302730560303
./data/nips17/images/217597258ac12258,509,582,3.1279280185699463
./data/nips17/images/346c5575b60194c3,951,948,3.571068048477173
./data/nips17/images/296033c3a5910845,356,360,2.7652623653411865
./data/nips17/images/3a7d9bd310202e93,918,789,3.0121474266052246
./data/nips17/images/56e9d5f63cfc507e,737,440,2.908242702484131
./data/nips17/images/602f2c3749d6021e,795,746,2.7763278484344482
./data/nips17/images/7c754696067fdfa9,391,764,3.234931230545044
./data/nips17/images/8f5eda0b6a910b43,968,949,1.825547695159912
./data/nips17/images/89119361e9d9e02d,707,480,2.8282155990600586
