"CASE","SERIAL","REF","QUESTNNR","MODE","LANGUAGE","STARTED","A001","A002","A003","A004","A005","A006","A007","A008","A013","A014","A015","A016","A020_CP","A020","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI"
496,,,"base","interview","ger",2023-12-07 12:30:04,2,1,2,1,2,1,2,1,2,1,2,1,0,28528952,10,3,2,8,2,25,10,4,15,9,8,17,6,119,,2023-12-07 12:32:03,1,0,13,13,0,0,199
500,,,"base","interview","ger",2023-12-08 15:20:11,2,1,2,1,2,1,3,1,2,1,2,3,0,24594354,84,4,7,2,3,5,4,18,5,6,3,3,11,155,,2023-12-08 15:22:46,1,0,13,13,0,0,222
501,,,"base","interview","eng",2023-12-11 10:14:43,2,1,2,1,2,1,2,1,2,1,2,1,0,64211298,17,4,3,4,2,3,24,6,5,4,8,7,20,107,,2023-12-11 10:16:30,1,0,13,13,0,0,223
502,,,"base","interview","ger",2023-12-12 12:11:43,2,1,2,1,3,3,2,1,3,1,3,3,0,44819425,66,36,24,5,21,77,49,40,24,50,17,58,30,351,,2023-12-12 12:20:00,1,0,13,13,0,0,05
504,,,"base","interview","eng",2023-12-12 12:47:01,2,1,2,1,1,1,2,2,1,1,1,1,0,59535281,36,16,3,2,4,9,7,6,14,17,3,9,30,156,,2023-12-12 12:49:37,1,0,13,13,0,0,183
505,,,"base","interview","ger",2023-12-12 12:47:15,1,2,1,2,3,2,3,2,1,3,3,3,0,96119191,91,8,3,4,7,20,17,31,24,23,15,30,18,291,,2023-12-12 12:52:06,1,0,13,13,0,0,098
506,,,"base","interview","ger",2023-12-12 12:47:27,3,1,2,1,2,1,3,1,2,1,2,1,0,85675919,92,786,5,5,8,22,17,35,18,25,29,42,39,348,,2023-12-12 13:06:10,1,0,13,13,0,0,07
507,,,"base","interview","ger",2023-12-12 12:48:53,2,1,2,1,2,1,3,3,2,3,2,3,0,29787672,107,25,9,9,24,27,35,387,46,22,42,125,58,346,,2023-12-12 13:04:09,1,0,13,13,0,0,044
508,,,"base","interview","ger",2023-12-12 12:53:47,2,2,2,2,1,,,,,,,,,,704,8,144,5,56,20,,,,,,,,112,,2023-12-12 13:09:24,0,0,6,6,0,0,061
509,,,"base","interview","ger",2023-12-12 13:05:52,2,1,2,1,3,3,3,3,3,3,3,3,0,35789897,34,63,17,10,9,28,24,47,35,24,16,15,14,284,,2023-12-12 13:11:28,1,0,13,13,0,0,073
510,,,"base","interview","ger",2023-12-12 13:08:56,2,1,2,1,3,3,1,3,3,2,2,,0,83671657,70,9,7,4,4,20,26,10,21,27,8,16,,222,,2023-12-12 13:12:38,0,0,12,12,0,0,109
511,,,"base","interview","ger",2023-12-12 13:13:58,2,1,2,1,3,3,3,1,2,1,2,1,0,89995415,4,7,5,5,5,29,36,17,19,16,8,9,7,167,,2023-12-12 13:16:45,1,0,13,13,0,0,136
512,,,"base","interview","ger",2023-12-12 13:18:14,2,1,2,1,2,2,1,3,3,1,2,1,0,42541352,21,16,13,9,15,22,16,14,22,31,35,25,26,242,,2023-12-12 13:22:39,1,0,13,13,0,0,087
513,,,"base","interview","ger",2023-12-12 13:19:19,1,2,1,2,1,1,1,1,1,2,1,2,0,45937741,3,34,15,4,5,5,7,7,7,15,12,6,17,137,,2023-12-12 13:21:36,1,0,13,13,0,0,171
514,,,"base","interview","ger",2023-12-12 14:21:41,1,2,1,2,2,2,3,3,1,2,1,2,0,37578469,118,9,11,11,8,49,25,40,69,8,31,12,10,323,,2023-12-12 14:28:22,1,0,13,13,0,0,081
515,,,"base","interview","ger",2023-12-12 14:25:00,2,1,2,1,3,3,3,3,2,1,2,3,0,99662462,25,11,8,4,6,18,18,19,21,6,16,15,11,178,,2023-12-12 14:27:58,1,0,13,13,0,0,126
516,,,"base","interview","ger",2023-12-12 20:21:16,2,1,2,1,3,1,1,1,3,1,2,1,0,73518955,67,11,5,8,4,7,16,9,6,10,9,7,5,164,,2023-12-12 20:24:00,1,0,13,13,0,0,172
517,,,"base","interview","ger",2023-12-13 08:50:02,2,1,2,1,2,3,3,3,3,3,3,1,0,43444745,66,67,3,2,3,23,13,8,10,6,7,9,10,171,,2023-12-13 08:53:49,1,0,13,13,0,0,167
